evo-volume,eco,name,pgn,uci,epd,epdhash
,A00,Amar Opening,1. Nh3,g1h3,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -,a01f4f866e7e0f05c3775600735bd4f7
,B43,"Sicilian Defense: Kan Variation, Knight Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Nc3,e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 b1c3,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq -,42684060760b73d38a1ddeac01884df4
,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Romanishin Attack",1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. a3 Bb7 5. Nc3 d5 6. cxd5 Nxd5 7. Bd2,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 c1d2,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq -,bbd9e909f2e14c180b23e0a482ba82b8
,D64,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack",1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. Nc3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Rc1 c6 8. Qc2 Ne4,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 d1c2 f6e4,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -,8572aa645682492e3bfc4fcec725283d
,C20,Barnes Opening: Walkerling,1. f3 e5 2. e4 Nf6 3. Bc4,f2f3 e7e5 e2e4 g8f6 f1c4,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -,fda56c92815f7b93e1093527352653bc
,D41,Queen's Gambit Declined: Semi-Tarrasch Defense,1. c4 c5 2. Nf3 Nf6 3. Nc3 Nc6 4. g3 d5 5. d4 e6,c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 g2g3 d7d5 d2d4 e7e6,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq -,42c20f51a6f3be4b27cd9e5374ea9720
,A00,Ware Opening: Cologne Gambit,1. a4 b6 2. d4 d5 3. Nc3 Nd7,a2a4 b7b6 d2d4 d7d5 b1c3 b8d7,rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -,f2833392240741bcfd898a4e3026a39f
,A01,Nimzo-Larsen Attack,1. b3,b2b3,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq -,401083b332a2b4e1a165a29258fe3eee
,A00,"Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation",1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3,e2e3 e7e5 b1c3 d7d5 f2f4 e5f4 g1f3,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,76a57952665395f0c336588ef5298858
,A00,Van Geet Opening: Reversed Nimzowitsch,1. Nc3 e5,b1c3 e7e5,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -,f7ee805130b2df06a4b90fe9f6db6dc8
,A02,Bird Opening: Hobbs Gambit,1. f4 g5,f2f4 g7g5,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq -,df8231702e21cf8f9afe1ead0f432161
,A00,Polish Opening: Karniewski Variation,1. b4 Nh6,b2b4 g8h6,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,cd9c78dabfc82453da35bb01826a8da1
,A00,Kádas Opening: Schneider Gambit,1. h4 g5,h2h4 g7g5,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq -,77d4f25c11d56e1590c121341231c3f6
,A00,Lasker Simul Special,1. g3 h5,g2g3 h7h5,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -,691645ea1df08c34469b1696b7b9ccd2
,A00,Mieses Opening,1. d3,d2d3,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -,df1b3d65d54c4f558b1cf1160db2a2a0
,A00,Saragossa Opening,1. c3,c2c3,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -,b3231d76312b20c60a6b812d4f5915a7
,A00,Sodium Attack,1. Na3,b1a3,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq -,316f89406842e87f12c07e1ff2091385
,A00,Van Geet Opening: Battambang Variation,1. a3 e5 2. Nc3,a2a3 e7e5 b1c3,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -,2062abea00937959b66d5152ce36317a
,A00,Creepy Crawly Formation: Classical Defense,1. h3 d5 2. a3 e5,h2h3 d7d5 a2a3 e7e5,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -,bedbea9208dfad226ea48e9752b71cc6
,A00,Grob Opening: Grob Gambit Declined,1. g4 d5 2. Bg2 c6,g2g4 d7d5 f1g2 c7c6,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,ad8ccb18f5209b10d7509f2f2be2e2d7
,D63,"Queen's Gambit Declined: Orthodox Defense, Pillsbury Variation",1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Be7 5. e3 O-O 6. Nf3 Nbd7 7. Rc1 b6 8. cxd5 exd5 9. Bd3,d2d4 g8f6 c2c4 e7e6 b1c3 d7d5 c1g5 f8e7 e2e3 e8g8 g1f3 b8d7 a1c1 b7b6 c4d5 e6d5 f1d3,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,a795d5a907cfe407bddd736186987e0d
,C05,"French Defense: Tarrasch Variation, Closed Variation",1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,f36928e06213f554571615864931f971
,A15,"English Opening: Anglo-Indian Defense, Slav Formation",1. c4 Nf6 2. Nf3 g6 3. g3 c6,c2c4 g8f6 g1f3 g7g6 g2g3 c7c6,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,d091dc31d4dddeb90f183cafa769f7db
,B12,"Caro-Kann Defense: Maróczy Variation, Maróczy Gambit",1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 e5 5. Nf3 exd4 6. Bc4,e2e4 c7c6 d2d4 d7d5 f2f3 d5e4 f3e4 e7e5 g1f3 e5d4 f1c4,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,a785791fd4c8678c1adfaa839b4e42d4
,B24,Sicilian Defense: Closed,1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7,e2e4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,1ba26874c7a5579da6fc61eee7e3c451
,D59,"Queen's Gambit Declined: Tartakower Defense, Makogonov Exchange Variation",1. d4 d5 2. c4 e6 3. Nc3 Be7 4. Nf3 Nf6 5. Bg5 h6 6. Bh4 O-O 7. e3 b6 8. cxd5 Nxd5,d2d4 d7d5 c2c4 e7e6 b1c3 f8e7 g1f3 g8f6 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 c4d5 f6d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,80a02a1254c37d81571afee62bbd7649
,D63,"Queen's Gambit Declined: Orthodox Defense, Capablanca Variation",1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. Nc3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Rc1 b6 8. cxd5 exd5 9. Bb5,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 b7b6 c4d5 e6d5 f1b5,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,8e8ac2d8c9a9227b0394e1e9db147949
,A15,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",1. c4 e6 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7,c2c4 e7e6 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,a5afa9152f80056dca3e720d1177206a
,A36,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation",1. c4 c5 2. g3 g6 3. Bg2 Bg7 4. Nc3 Nc6,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6,rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,492bcefc7819bef3810c83334a959767
